time,x,y,z,fx,fy,fz
1711941661.121262,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9083222,-0.8692613,-19.115253
1711941661.1446185,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9067365,-0.87361974,-19.184399
1711941661.1702006,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9154999,-0.8762471,-19.26744
1711941661.1909564,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.92349523,-0.8789579,-19.34974
1711941661.2086666,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9306478,-0.881676,-19.430943
1711941661.2259285,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9368715,-0.88469434,-19.514194
1711941661.2493677,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9425229,-0.8878154,-19.597286
1711941661.272773,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.73010135,-0.61568403,-19.15221
1711941661.2902021,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.7740499,-0.6062448,-19.153814
1711941661.3080812,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.7765637,-0.6270015,-19.133621
1711941661.3306909,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.7571284,-0.64077836,-19.144955
1711941661.3484178,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.74852264,-0.6504841,-19.154816
1711941661.3719711,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.75029856,-0.65936923,-19.156624
1711941661.3894312,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.74572146,-0.66792154,-19.172478
1711941661.412595,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.7483382,-0.67617273,-19.213976
1711941661.4303145,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.7781816,-0.68068504,-19.326336
1711941661.4480247,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.80237067,-0.6869192,-19.442734
1711941661.4711685,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.8232389,-0.69546044,-19.554558
1711941661.494168,0.170078638009727,1.5642043007537723,-1.4828997191041708,-0.8505769,-0.70683205,-19.654556
1711941661.5192008,0.03302889596670866,1.5768592013046145,-1.4155121382325888,0.43606913,-0.68980956,-21.453976
1711941661.5373945,0.03302889596670866,1.5768592013046145,-1.4155121382325888,0.23981883,-0.62908614,-21.340385
1711941661.5539162,0.03302889596670866,1.5768592013046145,-1.4155121382325888,0.05317885,-0.6269784,-21.373783
1711941661.57578,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.15587755,-0.6235647,-21.440815
1711941661.5935717,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.3223181,-0.6212061,-21.505379
1711941661.6181107,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.47720662,-0.6218295,-21.565641
1711941661.6369057,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.57705164,-0.6173574,-21.621078
1711941661.6575935,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.6617079,-0.6074246,-21.662888
1711941661.674898,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.6971377,-0.6385367,-21.698254
1711941661.6929824,0.03302889596670866,1.5768592013046145,-1.4155121382325888,-0.7167841,-0.66867495,-21.732246
